gridID,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6
43,6.5995074,0.1765759074808872,0.44747583515290557,0.34777417636467917,0.1780065640730124,0.357360345603976,0.028652999999999998,0.08308,0.07190294833715599,0.048196965558104,1.3943186223241602,0.36634,0.641095,0.35849000000000003,1.31563948337156,0.09551,0.19102,0.038204,0.9551000000000001,0.47755000000000003,0.76408,0.28653,0.38204
44,6.7907888,0.17862620830408638,0.4643084291039872,0.3603639218279904,0.18362170118062882,0.367423521522912,0.028734,0.06085,0.074765014857072,0.049939343238048,1.4375737295219202,0.37736000000000003,0.66038,0.37448000000000004,1.33097014857072,0.09578,0.19156,0.038312,0.9578000000000001,0.47890000000000005,0.76624,0.28734000000000004,0.38312
45,6.301484,0.156147910254622,0.442248222250056,0.348304541687542,0.17137312484224904,0.33928425138726004,0.028857,0.07991,0.07055815142531,0.04727443428354,1.4196573713416,0.37062,0.6485850000000001,0.36355000000000004,1.3039315142531,0.09619000000000001,0.19238000000000002,0.038475999999999996,0.9619000000000002,0.4809500000000001,0.7695200000000001,0.28857,0.38476000000000005
46,6.1389614,0.15082212884801918,0.43316703308444154,0.34112032481333115,0.16758296381880639,0.33113703832953595,0.027956999999999996,0.068735,0.06927450302601598,0.046347002017344,1.3910000806937601,0.36292,0.63511,0.358,1.26664503026016,0.09319000000000001,0.18638000000000002,0.037276,0.9319,0.46595,0.7455200000000001,0.27957,0.37276000000000004
47,3.536461,0.033879970919937996,0.319540851264824,0.277061013448618,0.106480216839271,0.18911034597754,0.027252,0.125655,0.04914284310349,0.03335622873566,1.2971691494264002,0.3277,0.573475,0.30987000000000003,1.0899584310349,0.09084,0.18168,0.036336,0.9084000000000001,0.45420000000000005,0.72672,0.27252,0.36336
48,5.1420580000000005,0.11289156361883398,0.38386654498943196,0.311217033742074,0.144974427327903,0.28042078382922,0.028089,0.10896,0.061114772407569996,0.04120351493838,1.3421805975352,0.3469,0.607075,0.33309,1.2143577240757,0.09363,0.18726,0.037452,0.9363,0.46815,0.74904,0.28089,0.37452
49,6.911790199999999,0.18255178427045557,0.47153418825422877,0.3655531661906716,0.18671213442326018,0.373923321757948,0.029051999999999998,0.06012,0.07595278855983799,0.050721859039892,1.45519436159568,0.38216,0.6687799999999999,0.37956,1.34836788559838,0.09684000000000001,0.19368000000000002,0.03873599999999999,0.9683999999999999,0.48419999999999996,0.7747200000000001,0.29052,0.38736000000000004
50,5.215915000000001,0.12376815944921998,0.37757390314455996,0.30359192735842,0.14558554491099,0.2851772048626,0.027698999999999998,0.119155,0.0602706740681,0.0407211160454,1.297724641816,0.33688,0.58954,0.32066,1.205346740681,0.09233,0.18466,0.036932,0.9232999999999999,0.46164999999999995,0.73864,0.27699,0.36932
51,6.029180599999999,0.15884830646078676,0.4163729801368463,0.32725006010263474,0.16581467127667057,0.330948190402444,0.028520999999999998,0.10580999999999999,0.067229409768614,0.045251273179076,1.3536109271630403,0.35438000000000003,0.620165,0.34143,1.28156409768614,0.09507000000000002,0.19014000000000003,0.03802799999999999,0.9506999999999999,0.47534999999999994,0.7605600000000001,0.28520999999999996,0.38028000000000006
52,7.147551999999998,0.19090300957470596,0.48399621727448794,0.37344678795586594,0.192165546544527,0.38588235537897997,0.029075999999999998,0.050035,0.07800179121412999,0.05201286080942,1.4711144323768,0.38698,0.677215,0.38663000000000003,1.3625879121412998,0.09692,0.19384,0.038768,0.9691999999999998,0.4845999999999999,0.77536,0.29075999999999996,0.38768
53,6.6553184000000005,0.1710751003942552,0.4593102172353696,0.35802071292652715,0.18007156207696842,0.358911580943416,0.028664999999999996,0.06204000000000001,0.073689940600796,0.049232293733864,1.43461174935456,0.3758600000000001,0.657755,0.3726900000000001,1.31970940600796,0.09555,0.1911,0.03822,0.9555000000000001,0.47775000000000006,0.7644,0.28664999999999996,0.3822
54,5.628881,0.138270287223068,0.401913714018064,0.320430785513548,0.156646368355106,0.30859576624044005,0.028536000000000002,0.11092000000000002,0.06453587628214,0.04349325085476,1.3536500341904003,0.3523200000000001,0.61656,0.33824000000000004,1.2583187628213999,0.09512000000000001,0.19024000000000002,0.038048,0.9512,0.4756,0.7609600000000001,0.28536,0.38048000000000004
55,5.2511344,0.12431824015788318,0.38173996493631357,0.3073642737022352,0.1474070451105944,0.288402081328656,0.028212,0.12226000000000001,0.06110437484173599,0.041293583227824004,1.3208633291129601,0.34272,0.59976,0.326,1.2254437484173597,0.09404,0.18808,0.037616,0.9403999999999999,0.47019999999999995,0.75232,0.28212,0.37616
56,5.7983174,0.12094274490017719,0.4344752675778256,0.34913137568336916,0.1603761120675674,0.308857157559676,0.028497,0.056855,0.068640301912606,0.045829534608404,1.45454138433616,0.3758,0.6576500000000001,0.37372000000000005,1.26258301912606,0.09499,0.18998,0.037996,0.9499000000000001,0.47495000000000004,0.75992,0.28496999999999995,0.37996
57,6.3987994,0.14869681701909318,0.4600161125253936,0.3634307593940452,0.1745468948657894,0.342013197437956,0.028803,0.048005000000000006,0.07320356821878599,0.048802378812524,1.47633515250096,0.38404000000000005,0.67207,0.38404000000000005,1.3080956821878598,0.09601000000000001,0.19202000000000002,0.038403999999999994,0.9601,0.48005,0.7680800000000001,0.28803,0.38404000000000005
58,7.3673208,0.20012936327910238,0.49465539005435516,0.38022164254076635,0.19757816352880078,0.39807414701419197,0.029429999999999998,0.04905,0.07985259055375199,0.053235060369168,1.48908241476672,0.3924,0.6867,0.3924,1.38712590553752,0.0981,0.1962,0.03924,0.981,0.4905,0.7848,0.2943,0.3924
59,7.1908981999999995,0.19480358187249958,0.48346420088874076,0.37183642566655556,0.1929150025053582,0.388471933956468,0.028799999999999996,0.04809000000000001,0.078023942154458,0.052016628102972,1.45746512411888,0.38396,0.67193,0.38394000000000006,1.3562994215445798,0.09600000000000002,0.19200000000000003,0.0384,0.96,0.48,0.7680000000000001,0.288,0.38400000000000006
60,5.570704999999999,0.11876742573409997,0.41561879594679996,0.3342295969600999,0.15460908855094999,0.29849787335300004,0.027908999999999996,0.06861,0.06582112158049999,0.044044414387,1.4014165754799999,0.3623,0.634025,0.35739,1.231121215805,0.09303,0.18606,0.037211999999999995,0.9303,0.46515,0.74424,0.27908999999999995,0.37212
61,6.2546284,0.13982051467475518,0.45647079724936956,0.36277039793702714,0.1713469598267184,0.333629509008416,0.028956,0.04961,0.072428487553296,0.04829565836886401,1.4856663347545602,0.38548000000000004,0.67459,0.38518,1.30430487553296,0.09652000000000001,0.19304000000000002,0.038608,0.9652000000000001,0.48260000000000003,0.7721600000000001,0.28956000000000004,0.38608000000000003
62,6.9672346,0.1806014981215588,0.4785376964471024,0.37146884733532676,0.18803390644284462,0.37545603246920406,0.029127,0.051245000000000006,0.076898213089674,0.051285475393115995,1.4759790157246402,0.38716,0.67753,0.38656,1.35332213089674,0.09709000000000001,0.19418000000000002,0.038835999999999996,0.9709000000000001,0.48545000000000005,0.7767200000000001,0.29127000000000003,0.38836000000000004
63,7.2151662,0.1920531783291836,0.4892088919299728,0.37757869394747956,0.1939595015073362,0.38926755162618804,0.029331000000000003,0.048885000000000005,0.078807438286278,0.052538292190852,1.4870516876340802,0.39108000000000004,0.6843899999999999,0.39108000000000004,1.3746943828627798,0.09777000000000001,0.19554000000000002,0.039108,0.9777,0.48885,0.7821600000000001,0.29331,0.39108000000000004
64,7.2920364,0.19707891571287917,0.4908167746637216,0.37766463099779113,0.1956769351491764,0.393857104793336,0.029259,0.048765,0.079190613536316,0.052793742357544,1.4811896943017602,0.39012,0.6827099999999999,0.39012,1.37708613536316,0.09753,0.19506,0.03901199999999999,0.9753000000000001,0.48765000000000003,0.78024,0.29259,0.39012
65,6.203938999999999,0.15989846054096196,0.430949552648376,0.3382505394862819,0.169902717112279,0.33812250001946,0.028508999999999996,0.087205,0.06938056579100998,0.04654771052734,1.3855884210936,0.36247999999999997,0.6343399999999999,0.35366,1.2904456579100998,0.09502999999999999,0.19005999999999998,0.038012,0.9503,0.47515,0.7602399999999999,0.28509,0.38011999999999996
66,5.558309400000001,0.13369461587373316,0.4000807909321136,0.3198087681990851,0.15486852578566937,0.304060202909156,0.028413,0.108015,0.06410991075598599,0.043189273837324,1.35373095349296,0.35188,0.61579,0.3384,1.24979910755986,0.09471,0.18942,0.037883999999999994,0.9471,0.47355,0.75768,0.28413,0.37884
67,4.055202599999999,0.08533752084852278,0.3138429043297744,0.26183850324733077,0.11897346278408259,0.227616517211324,0.027249000000000002,0.16579,0.050074488200893996,0.034274658800596,1.20494635202384,0.30982,0.5421849999999999,0.28307,1.12597488200894,0.09083000000000001,0.18166000000000002,0.036331999999999996,0.9083,0.45415,0.7266400000000001,0.27248999999999995,0.36332000000000003
