gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
441,.6184,.0000,.3423,.0001
442,.3061,.0000,.6424,.0222
443,.7378,.0000,.2466,.0000
444,.7055,.0000,.2661,.0000
445,.7349,.0006,.2348,.0000
446,.7172,.0000,.2614,.0000
447,.5479,.0743,.3020,.0265
448,.4354,.1215,.3105,.0715
449,.3021,.1448,.3448,.1222
450,.1953,.2088,.4543,.0260
451,.2880,.2079,.3182,.0463
452,.3018,.2875,.2489,.0326
453,.2955,.1983,.3909,.0393
454,.1138,.1908,.4538,.0947
455,.0002,.1386,.6191,.0414
456,.0139,.4786,.1821,.1929
457,.0422,.4520,.2642,.1089
458,.0276,.4057,.2473,.1664
459,.0250,.4426,.3772,.0165
460,.0215,.5018,.3438,.0143
461,.0171,.6731,.1599,.0458
462,.0041,.5897,.2396,.0000
463,.0229,.6638,.1975,.0158
464,.2626,.1087,.4982,.0515
465,.4168,.0040,.4558,.0537
466,.5383,.0000,.3130,.0914
467,.7083,.0000,.2423,.0001
468,.6613,.0000,.2842,.0000
469,.3294,.1037,.4383,.0239
470,.4763,.0012,.4308,.0190
471,.1342,.2542,.4252,.1066
472,.0281,.4019,.4382,.0428
473,.1388,.3768,.4157,.0038
474,.1462,.3735,.4017,.0192
475,.0839,.4016,.4428,.0000
476,.0814,.3269,.4946,.0000
477,.1716,.3008,.3997,.0000
478,.0574,.1825,.5376,.0962
479,.2660,.0570,.5725,.0000
480,.3126,.0338,.5869,.0000
481,.3233,.0334,.5729,.0000
482,.2270,.1026,.5160,.0515
483,.1238,.0808,.4800,.1873
484,.0241,.1033,.6864,.0713
485,.2981,.0210,.5520,.0337
486,.2251,.0051,.6809,.0038
487,.2719,.0098,.5999,.0419
488,.1912,.0324,.6812,.0000
489,.3722,.0079,.5519,.0000
490,.6080,.0131,.3218,.0214
491,.4397,.0000,.4322,.0657
492,.5064,.0068,.4390,.0000
493,.5098,.0000,.4251,.0000
494,.1670,.0635,.3195,.2903
495,.4292,.0086,.5109,.0000
496,.4752,.0146,.4548,.0000
497,.2824,.1615,.4350,.0317
498,.1301,.2859,.4205,.0578
499,.1965,.1162,.5143,.0978
500,.5724,.0353,.3527,.0000
501,.7174,.0000,.2603,.0000
502,.7482,.0009,.2271,.0000
503,.7661,.0200,.1924,.0000
504,.3671,.2171,.2019,.0974
505,.2707,.2231,.1751,.1947
506,.2759,.1343,.2667,.1382
507,.7047,.0169,.2463,.0000
508,.5673,.0046,.3972,.0000
509,.5188,.0588,.3729,.0000
510,.6444,.0537,.2514,.0000
511,.7199,.0005,.2462,.0000
512,.6517,.0055,.3163,.0000
513,.6338,.0058,.3322,.0000
514,.6298,.0045,.3432,.0000
515,.6641,.0073,.2931,.0000
516,.7536,.0099,.1990,.0000
517,.7374,.0053,.2243,.0000
518,.7987,.0108,.1587,.0000
519,.5836,.0910,.2465,.0346
520,.4745,.2396,.1975,.0026
521,.3790,.1985,.3174,.0343
522,.5170,.1373,.1734,.1059
523,.7837,.0419,.1386,.0000
524,.8035,.0026,.1481,.0000
525,.8030,.0000,.1659,.0000
526,.7915,.0000,.1748,.0000
527,.7729,.0000,.1949,.0000
528,.7135,.0000,.2396,.0000
529,.6906,.0000,.2594,.0000
530,.5137,.0235,.4009,.0000
531,.1643,.1482,.6072,.0000
532,.7020,.0049,.2774,.0000
533,.6408,.0059,.3061,.0000
534,.5618,.0028,.3907,.0000
535,.5704,.0051,.3433,.0368
536,.4391,.0000,.2716,.2363
537,.5480,.0000,.4031,.0000
538,.4850,.0000,.4800,.0000
539,.7324,.0007,.2495,.0000
540,.7095,.0075,.2458,.0017
541,.4766,.1159,.3106,.0405
542,.3974,.0690,.4104,.0460
543,.2369,.1194,.4887,.0601
544,.2129,.0456,.5532,.0809
545,.3022,.1131,.3844,.1101
546,.3979,.1501,.3874,.0000
547,.4167,.1460,.3886,.0000
548,.2070,.2421,.3795,.0571
549,.0014,.4760,.3409,.0321
550,.0075,.4343,.2612,.1639
551,.0045,.5904,.1579,.0800
552,.0144,.4874,.2310,.1338
553,.0249,.5165,.3247,.0359
554,.0060,.6190,.2530,.0146
555,.0082,.5205,.2543,.1135
556,.0564,.4273,.2338,.0899
557,.0088,.6281,.1605,.0000
558,.0179,.4268,.3774,.0179
559,.2197,.0718,.6183,.0012
560,.5560,.0000,.3393,.0508
561,.5094,.0000,.3539,.0802
562,.4559,.0593,.4133,.0007
563,.4311,.1197,.3601,.0044
564,.3832,.0128,.4601,.0153
565,.0460,.2462,.3798,.2340
566,.0269,.3045,.4083,.1745
567,.1188,.3334,.4712,.0000
